"user_id","Choice","Group","Memory","TimeClick","Timesec","Q15_Page_Submit","Q16_Page_Submit","Q17_Page_Submit","Q18_Page_Submit","Age","Gender","Q23","PC1","PC2","PC3","PC4","PF1","PF2","PF3","PF4","PF5","BA","BF1","BF2","Memory_1","Memory_2","PC","PF","Group_1","Group_2","Group_3","Group_4","Choice_f","Memory_f"
87,1,4,1,2932,2.932,NA,NA,NA,6.282,3,1,2,4,4,4,5,4,5,4,5,4,NA,NA,NA,1,0,4.25,4.4,0,0,0,1,"Accept","WithMemory"
88,1,1,1,5148,5.148,29.469,NA,NA,NA,1,2,1,4,4,4,5,4,5,4,4,5,5,1,2,1,0,4.25,4.4,1,0,0,0,"Accept","WithMemory"
89,1,3,1,4347,4.347,NA,NA,32.733,NA,1,2,1,3,4,5,4,2,4,4,3,4,NA,NA,NA,1,0,4,3.4,0,0,1,0,"Accept","WithMemory"
90,2,4,2,2527,2.527,NA,NA,NA,44.646,1,1,1,5,5,5,5,4,5,5,4,5,NA,NA,NA,0,1,5,4.6,0,0,0,1,"Reject","NoMemory"
91,2,4,2,9205,9.205,NA,NA,NA,64.321,1,1,1,4,4,3,4,2,3,3,4,4,NA,NA,NA,0,1,3.75,3.2,0,0,0,1,"Reject","NoMemory"
92,2,2,1,6491,6.491,NA,53.801,NA,NA,2,2,2,5,5,3,5,2,5,5,2,5,5,1,2,1,0,4.5,3.8,0,1,0,0,"Reject","WithMemory"
93,1,1,1,3580,3.58,25.468,NA,NA,NA,2,1,2,2,5,5,5,1,5,5,5,5,5,1,1,1,0,4.25,4.2,1,0,0,0,"Accept","WithMemory"
94,3,4,1,12912,12.912,NA,NA,NA,29.833,1,1,2,4,4,4,4,3,4,5,4,5,NA,NA,NA,1,0,4,4.2,0,0,0,1,"Manage","WithMemory"
95,2,3,1,3868,3.868,NA,NA,26.571,NA,1,1,1,2,3,4,3,2,3,5,4,4,NA,NA,NA,1,0,3,3.6,0,0,1,0,"Reject","WithMemory"
96,2,2,1,3087,3.087,NA,24.939,NA,NA,1,2,1,4,4,4,5,5,5,5,3,2,5,1,1,1,0,4.25,4,0,1,0,0,"Reject","WithMemory"
97,2,4,2,9972,9.972,NA,NA,NA,18.189,2,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,0,1,1,1,0,0,0,1,"Reject","NoMemory"
98,1,1,2,1852,1.852,7.972,NA,NA,NA,5,1,1,1,1,1,1,3,3,3,3,3,5,1,1,0,1,1,3,1,0,0,0,"Accept","NoMemory"
99,2,3,1,3080,3.08,NA,NA,9.961,NA,1,1,1,5,5,5,5,5,4,4,2,4,NA,NA,NA,1,0,5,3.8,0,0,1,0,"Reject","WithMemory"
100,1,1,1,9353,9.3534,22.904,NA,NA,NA,3,2,1,2,2,2,2,4,4,4,3,3,5,1,1,1,0,2,3.6,1,0,0,0,"Accept","WithMemory"
101,3,2,1,28798,28.798,NA,37.315,NA,NA,4,1,1,5,5,5,5,5,5,5,5,5,5,1,1,1,0,5,5,0,1,0,0,"Manage","WithMemory"
102,2,4,1,10506,10.506,NA,NA,NA,15.371,2,1,1,5,5,5,5,5,5,5,5,5,NA,NA,NA,1,0,5,5,0,0,0,1,"Reject","WithMemory"
103,2,4,1,6624,6.624,NA,NA,NA,7.852,2,1,1,5,5,5,5,4,4,5,4,4,NA,NA,NA,1,0,5,4.2,0,0,0,1,"Reject","WithMemory"
104,1,3,1,4255,4.255,NA,NA,9.463,NA,2,2,2,1,1,1,1,3,3,2,3,2,NA,NA,NA,1,0,1,2.6,0,0,1,0,"Accept","WithMemory"
105,1,1,1,7699,7.699,13.111,NA,NA,NA,2,2,1,3,3,3,4,3,3,2,3,2,5,1,1,1,0,3.25,2.6,1,0,0,0,"Accept","WithMemory"
106,2,2,1,3595,3.595,NA,27.626,NA,NA,1,1,1,5,5,5,5,4,5,5,4,5,5,1,2,1,0,5,4.6,0,1,0,0,"Reject","WithMemory"
107,2,3,1,5819,5.819,NA,NA,11.462,NA,1,2,1,5,5,5,5,5,5,5,1,5,NA,NA,NA,1,0,5,4.2,0,0,1,0,"Reject","WithMemory"
108,2,4,2,8025,8.025,NA,NA,NA,58.741,3,1,2,5,5,5,5,4,5,5,5,1,NA,NA,NA,0,1,5,4,0,0,0,1,"Reject","NoMemory"
109,1,1,1,2716,2.716,48.472,NA,NA,NA,2,2,2,3,3,3,3,2,3,2,5,4,5,1,1,1,0,3,3.2,1,0,0,0,"Accept","WithMemory"
110,2,4,1,3022,3.022,NA,NA,NA,25.77,2,2,2,5,5,5,5,5,5,5,4,5,NA,NA,NA,1,0,5,4.8,0,0,0,1,"Reject","WithMemory"
111,4,2,2,NA,NA,NA,17.954,NA,NA,2,2,1,4,4,4,4,4,4,4,4,4,5,1,2,0,1,4,4,0,1,0,0,"Other","NoMemory"
112,1,1,1,17492,17.492,25.845,NA,NA,NA,3,2,2,4,4,4,4,3,4,4,4,4,5,1,1,1,0,4,3.8,1,0,0,0,"Accept","WithMemory"
113,2,3,1,9596,9.596,NA,NA,23.89,NA,1,3,1,4,4,4,4,3,4,4,4,4,NA,NA,NA,1,0,4,3.8,0,0,1,0,"Reject","WithMemory"
114,2,2,2,2286,2.286,NA,19.684,NA,NA,3,1,3,3,3,4,5,4,4,4,4,5,3,1,1,0,1,3.75,4.2,0,1,0,0,"Reject","NoMemory"
115,2,3,2,5792,5.792,NA,NA,11.609,NA,1,2,1,5,5,5,5,5,5,5,5,5,NA,NA,NA,0,1,5,5,0,0,1,0,"Reject","NoMemory"
116,2,3,2,9353,9.353,NA,NA,56.725,NA,1,2,1,4,4,3,4,2,4,4,4,2,NA,NA,NA,0,1,3.75,3.2,0,0,1,0,"Reject","NoMemory"
117,1,1,1,3427,3.427,59.296,NA,NA,NA,1,1,1,4,5,5,5,4,5,4,5,5,5,1,2,1,0,4.75,4.6,1,0,0,0,"Accept","WithMemory"
118,1,1,1,3139,3.139,30.21,NA,NA,NA,1,2,1,2,2,3,2,2,5,4,2,4,5,1,2,1,0,2.25,3.4,1,0,0,0,"Accept","WithMemory"
119,1,2,1,2422,2.422,NA,17.863,NA,NA,1,2,1,5,5,5,5,3,5,5,5,5,5,1,1,1,0,5,4.6,0,1,0,0,"Accept","WithMemory"
